year,Entire_home,Hotel_room,Private_room,Shared_room
2009,15,0,15,39
2010,38,0,66,40
2011,111,0,207,110
2012,356,1,398,122
2013,666,1,640,135
2014,1153,2,1114,157
2015,2081,2,1686,206
2016,2493,2,2220,268
2017,2794,2,2605,278
2018,3113,2,2988,312
2019,3368,2,3351,326
2020,3428,2,3452,334
